lkadvani.in	lkadvani.di
samajwadi	samajwadi
pursuing	mengejar
navdanya	navdanya
canape	canape
financi	bi,Keuangan
hindu	Hindu,hindu
guin	guin
forum	forum
nathalie	nathalie
rupe	rupe
disgusting	menjijikkan,cabul
compromises	kompromi perjanjian,kompromi
separation	pemisahan
40-50	40-50
apocalyptic	apokaliptik
unleash	melepaskan
engaging	mencari
generous	murah hati
cambodia's	kamboja
claus	claus
mumbaivot	mumbaivot
muawiyah	muawiyah
ruckus	keributan
off	,off,cuti,didiskon,libur,lepas,mati,batal,putus,dipotong
bouteflika'	bouteflika'
shaazka	shaazka
ears	telinga,jarak pendengaran
tropical	tropis
summed	menyimpulkan,Hasil tambah,jumlah,hasil tambah,penjumlahan,hasil kali,hitungan
repression	represi
bet	bertaruh,taruhan,yakin
publish	mempublikasikan,menerbitkan
other	yang lain,,lainnya
acquire	menguasai,menerima,memperoleh, menguasai,mendapatkan,mendapat
archana	archana
exclusively	eksklusif
perry'	perry'
adds	 menambahkan,menambah,menambahkan,tambah
answering	menjawab,alat penjawab telepon
irresponsible	tidak bertanggung jawab
campu	campu
betrayed	dikhianati
foreign	asing
singapore	singapura
helicopter	helikopter
typing	mengetik,macam, macam,k,jenis,ketik
العداء	العداء
revolved	berputar
piece	,bagian,potong,satuan,buah,sedikit
memor	memor,tanda peringatan
developing	mengembangkan,negara berkembang
injunct	injunct
http://www.flickr.com/photos/mashafeeg/397839215/	http://www.flickr.com/photos/mashafeeg/397839215/
hair	rambut,bulu
algerian	aljazair
murder	pembunuh,pembunuhan,membunuh
jewish-ethiopian	yahudi ethiopia
improv	membaik,bertambah baik,memperbaiki,improv,memperlancar,mulai sembuh
sitting	ruang duduk,duduk
alias	alias
jonny	jonny
roundup	roundup
approved	,disetujui,menyetujui
kafr	kafr
predictable	diprediksi
cultiv	membudidaya,dibudidaya
lecher	bandot
hijabee	hijabee
whoop	teriakan
turn	giliran,menjadi,belok,berbelok,mengubah,membalik
finds	menemukan
willy	willy
ruthie	ruthie
photo-shopped	foto-berbelanja
subsequently	selanjutnya
الدين	الدين
asean	asean
follows	menyusul,,berikut, menyusul,mengikuti
وعلى	وعلى
copy	menggandakan,salinan; copy,kopi,salinan; kopi,salinan,Salinan,copy,menyalin,meniru
conspicu	conspicu
founded	didirikan
theoriz	theoriz
stroll	pergi makan angin,berjalan-jalan,jalan-jalan
primarily	terutama
counting	menghitung,Menghitung
producers	produsen,produser
occasional	sekali-sekali,kadang-kadang,sesekali, sekali-sekali
google'	google'
velazquez	velazquez
clothing	sandang,pakaian, sandang
bestsel	bestsel
circumstance	keadaan
unsur	unsur
coronel	coronel
acute	 gawat,akut,gawat
town	kota
imported	Impor,impor; masuk,impor
myself	sendiri,,diri, sendiri,diriku
later	kemudian,nanti,lagi
reliable	Dapat dipercaya,dapat diandalkan,terpercaya, dapat dipercaya,dapat dipercaya
coalition	koalisi
tactics	taktik
1.25	1.25
endangered	terancam punah
expat	expat
exchange	 pertukaran,pertukaran,ganti,menukarkan,bursa
retweets	retweet
allah	allah
sacr	sacr,suci
interruptus	interruptus
disclosed	menyingkap,mengungkap, mengungkap,diungkapkan
disagree	 tidak setuju,tidak setuju,berselisih,tidak sependapat
photos	foto,potret, potret
lra	lra
abounds	berlimpah
familiar	akrab
petit	petit
berhampore	berhampore
selichos	selichos
accomplish	menyempurnakan,menyelesaikan,mencapai
mosqu	mesjid,mosqu
1,626	Satu ribu enam ratus dua puluh enam
updating	,memperbarui,memperbaharui,Mutakhir,pemberitahuan,informasi
visa	visa
bon	obligasi,Hubungan antara manusia,bon
dina	dina
serving	memukul,giliran,menghidangkan,melayani,menyajikan
backward	mundur
chronicle	chronicle
today'	hari ini'
qualify	memenuhi syarat
payata	payata
signs	tanda-tanda,bintang,tanda,jejak,menandatangani
ysaki	ysaki
virtues	kebaikan,kebajikan
atm	atmosfir,suasana,atm
rican	rico
monument	 tugu,tugu,monumen
choic	pilihan,akom
attribut	atribut
strives	berusaha
economically	ekonomis
expulsions	pengusiran
triag	triag
connectivity	konektivitas
protracted	berlarut-larut
means	cara,berarti,jenis, cara, jenis,alat
hoard	menimbun
citizens	kewarganegaraan,warga
ownership	kepemilikan
demonstrates	berdemonstrasi,menunjukkan
monitor	memantau,memonitor,monitor,mengamati,mengawasi
showcasing	lemari kaca,Kulkas kaca,menampilkan
remains	bekas,sisa,tetap, sisa
imedi's	imedi ini
hate	benci
teal	teal
multiple	kelipatan,beberapa
senat	senat
jive	jive
cal	menghitung, mengkalkulasi,mengkalkulasi,cal
exhibiting	Memperlihatkan, Memamerkan,Menunjukkan, Memperlihatkan,menunjukkan,Memamerkan
movies	 filem, pilem,pilem,film,filem
démocrati	démocrati
bodies	 tubuh,tubuh,mayat,badan
vari	vari,variabel
oubli	oubli
state-sanctioned	negara-sanksi
construction	konstruksi,bangunan, konstruksi
bin	bin,tong
fatah	fatah
jo's	jo
soldiers	 tentara,prajurit,tentara
congolese	kongo
moreover	selain itu
payatas	payatas
kyi's	kyi
cheer	,sorak,menghibur,sorak-sorai
stagnation	stagnasi
cafes	 warung kopi,warung kopi,kafe
ping	ping, tenis meja,pingpong,tenis meja
prompt	prompt,menyebabkan,mendesak,Mendesak,membisiki,mendorong,menganjurkan,menyarankan,Siap ketik
garden	 taman,taman,kebun
bhaat	bhaat
conceit	kesombongan
merely	hanya
destabil	destabil
fruits	buah,buah-buahan
le	,kabel,tali pengikat,timah,memimpin,peranan penting,le,rantai,menuju
unknnon	unknnon
@karljeanjeune	oleh @karljeanjeune
volcan	volcan,gunung api
reformists	reformis
hong	hong
sena	sena
oasi	oasi
troops	pasukan
irina	irina
jettek	jettek
cyber-censorship	cyber-sensor
diplomats	diplomat
unnoticed	tanpa disadari
perry	perry
hj	hj
classroom	ruang kelas,ruangan kelas,kelas
lèse	lèse
thing	,benda,barang,hal,hal-hal
4,825	Empat ribu delapan ratus dua puluh lima
solemn	khusyuk
3,000	Tiga ribu
rangers	rangers
coincidentally	kebetulan
flickr	flickr
obscure	mengaburkan,jelas
paradoxically	paradoksnya
crippl	crippl
longer	 lebih panjang,,lagi,lebih panjang,lebih lama
mall	mall
mac-jordan	mac-yordania
roza	roza
adults	dewasa,orang dewasa
chinese	 orang Tionghoa,bahasa Cina,Tiongkok,cina,orang Cina,Cina,orang Tionghoa
fireworks	kembang api,mercon, mercon
depriv	depriv,mencabut
fatwa	fatwa
hosted	host,induk semang,inang
massar-e	massar-e
cooperative	koperasi
gatherings	pertemuan
fruitcake	fruitcake
attention	perhatian
post-disaster	pasca-bencana
inconveniencing	merepotkan
make-up	make-up,rias
azeri	azeri
proposed	melamar,diusulkan,mengusulkan
tested	diuji,pemeriksaan,ujian,menguji,mencoba
plan	rencana,gambar,peta,membuat rencana,menggambar,bermaksud,merencanakan
stands	,berdiri,tidak tahan
household	rumah tangga
penalti	,hukuman,penalti
unconfirm	prakonfirmasi,unconfirm
documentary-maker	pembuat dokumenter
writer's	penulis
clover	semanggi
thoroughly	benar-benar
rita	rita
nationalistic	nasionalis
champaran	champaran
rod	 tangkai,tangkai,batang
#kyrgyzstan	#kyrgyzstan
aguirre	aguirre
mmm	mmm
various	berbagai, pelbagai,bermacam-macam,pelbagai
cameras	foto-tustel, foto-tustel,kamera
institute'	institut'
desper	,nekat,desper
decriminalizing	mendekriminalisasi
pounds	paun,pon
44	Empat puluh empat
circumv	mengelakkan,circumv
interim	sementara,obligasi sementara
salaam	salaam
majeste	majeste
dominance	dominasi
greek	yunani,orang Yunani,bahasa Yunani
peoples	bangsa,masyarakat,orang-orang,rakyat
兰小欢	兰小欢
problems	 problim,problim,soal,masalah, soal
observing	melihat, memperhatikan,memperhatikan,mengamati
blow	,pukulan,meniup,meledak,bertiup,tamparan
skyrocket	meroket
mercy	 belas kasihan,ampun,belas kasihan,rahmat
arabawi	arabawi
transcripts	transkrip
displeasur	displeasur
wharf	wharf
fallen	turun,jatuh
mccurri	mccurri
edetaen	edetaen
lived	hidup,langsung, tinggal,menetap,yang hidup,tinggal
nicholas	nicholas
claiming	mengatakan,mengklaim
portugues	Portugal,bahasa Portugis,Portugis,portugis,orang Portugis
ugly	buruk, jelek,jelek
post-modernity	post-modernitas
maleta	maleta
thompson's	thompson
juli	juli
newark	newark
air.cupids	udara.cupids
endur	endur,daya tahan
situat	d,berlokasi, terletak,terletak
syria	suriah
alongside	bersama
beautifully	indah
shashi	shashi
markham	markham
450nis	450nis
admit	,mengakui,mengaku,memasukkan
دايما	دايما
sturdy	kokoh
hostage	sandera
150ni	150ni
it	,–nya  ‘,itu,ini,teknologi informasi
participation	partisipasi
fiancé	tunangan
overzealous	terlalu bersemangat
measured	mengukur,diukur
@sajahq	@sajahq
states	,keadaan,serikat,negara bagian,menyatakan, kondisi,kondisi,negara
unfinish	unfinish
artistic	artistik
helm	helm, topi baja,topi baja
losa	losa
http://www.flickr.com/photos/dlakme/2903770065/	http://www.flickr.com/photos/dlakme/2903770065/
1963	Satu ribu sembilan ratus enam puluh tiga
healthi	healthi
taxis	taksi
bel	kepercayaan,bel,keyakinan, keyakinan
puzzle	teka-teki,teka teki
veiled	cadar,terselubung,kerudung, cadar
maryland	maryland
fierc	fierc,galak,sengit
expert	ahli
misappropriation	penyalahgunaan
vehicle	kendaraan
evidence	bukti
definition	definisi, ketentuan,ketentuan
swathe	balut
jewish	yahudi,Yahudi
neweurasia.net	neweurasia.net
justifi	dibenarkan dan,membenarkan
sickness	penyakit
shirt	blus,baju,kemeja
who	yang,siapa
n	paku,kuku,n
buzy	buzy
unfair	tidak adil
offshor	offshor
taraweeh	taraweh
user	pengguna
j	j,dongkerak,jack
unruli	unruli
muraoka	muraoka
flood	meluap,mengairi,membanjir,banjir,kebanjiran
irreverence	ketidaksopanan
travel	perjalanan,bepergian
government-a	pemerintah-
advantage	memanfaatkan,keuntungan
viciou	galak,ganas,viciou,buruk,kejam, galak, ganas,buas
helicopt	helicopt,helikopter
influenti	influenti
excel	 hebat,excel,baik sekali,hebat
deterior	deterior
sourceforge.net	sourceforge.net
authoritarian	otoriter
bagong	bagong
delivering	memberikan,mengantarkan,menyampaikan
40pm	40pm
mutantfrog	mutantfrog
deduc	mengurangi,memotong,deduc, mengurangi
rants	rants
vibrant	menjelajahi
born	lahir
incent	incent
built	dibangun
maree	maree
ways	,cara,jauh,jurusan,jalan,arah
#wikileaks	#wikileaks
gazelles	rusa
shelters	 tempat bernaung,,tempat penampungan,perlindungan,tempat bernaung
ravag	 membinasakan,ravag,membinasakan,merusak
المختلف	المختلف
60	Enam puluh
polygamy	poligami
cruel	kejam
select	memilih,pilih
africa	Afrika,afrika
stooges	antek
renegade	renegade
theme	tulisan,atau seni.,bisa dalam pembicaraan,tema,inti dari suatu hal,motif, tema
reflection	pemikiran,refleksi, refleksi,bayangan
hawk	hawk
pilgrim	pilgrim,peziarah
distress	kesusahan,sedih
upsurg	upsurg
jives	jives
colleg	sekolah menengah, akademi,perguruan tinggi.,perguruan tinggi,akademi
interdict	larangan
expiri	expiri,berakhir, habis waktunya,habis waktunya,daluarsa, daluarsa
baiyun	baiyun
misrepres	dipahami
equality	persamaan,kesetaraan
fatima	fatima
proxy	proxy,surat kuasa
learn	belajar
noted	uang kertas,not,catatan,surat,mencatat
negotiation	perundingan,negosiasi
chat	chatting,obrolan
restaurateur	pemilik restoran
photoshop	photoshop
border	batas,perbatasan,Batas
selflessli	selflessli
gawd	aduh
jfap	jfap
reynolds	reynolds
otherwis	kalau tidak,s,tetapi
swath	petak
tweeple.in	tweeple.di
ambigu	ketaksaan,ambigu
driver	supir,pengemudi, supir,driver
foremost	terutama
saiful	saiful
eligible	memenuhi syarat,tidak layak
assassinated	dibunuh
18,000	Delapan belas ribu
capoi	capoi
gleam	sinar
#indonesiaunit	#indonesiaunit
commodity	komoditi
defended	membela
supporter	pendukung
exaggerated	berlebihan, membesar-besarkan,membesar-besarkan,melebih-lebihkan
mainstream	mainstream
broadband	broadband
exile	pengasingan
guarantees	garansi,Garansi,jaminan, jaminan,menjamin
transitional	transisi
bagged	kopor,tas,dikantongi
reposit	reposit
atonement	pendamaian
crippled	lumpuh
syrian-isra	suriah-isra
electorate's	pemilih
samaritan	samaria
polar	beruang es,polar
keadilan	keadilan
elections	pemilihan,pemilu
capitalism	kapitalisme
mournful	sedih
publishes	menerbitkan
delta	delta
repeat	ulangi,ulangan,mengulangi
bruneians	orang brunei darussalam
teodoro	teodoro
terence	terence
lissi	lissi
lone's	lone ini
humanizes	memanusiakan
abrupt	sekonyong2,tiba-tiba
cathedral	katedral
roil	mengacaukan
haj	haji
tours	,tur,perjalanan,berkeliling
yagoob	yagoob
1,089	Satu ribu delapan puluh sembilan
feng	feng
albanna	albanna
su	bawah sadar,su
two-member	dua anggota
coburn	coburn
jamshed	jamshed
payments	pembayaran,Pembayaran
several	beberapa
danish	berasal dari Denmark,denmark
portucale	portucale
then	,lalu,kemudian,waktu itu,kalau begitu, lalu
beloved	tercinta
intruso	intruso
splintered	pecah,serpihan
firmly	tegas
vilas	vilas
laser	laser
sender	pengirim
purpos	,.,maksud
magnanim	magnanim
raggedy	compang-camping
chopra	chopra
shells	granat,kulit,bom,kerang,rumah kerang
furiou	sangat marah,furiou
hiatus	hiatus
meme	meme
like-minded	berpikiran
cooling	pendingin,kesejukan,ketenangan,adem,informal,dingin,sejuk,mendingin,yang tenang,baik sekali  informal,menjadi dingin
invad	invad
harshly	kasar
بتحتفل	بتحتفل
weekly	mingguan
lgrd	lgrd
alone	,sendirian,seorang diri, seorang diri
kyrgyz	kyrgyz
piles	tumpukan
netanyahu	netanyahu
peru's	peru
yield	hasil
conform	sesuai
races	 perlombaan,pacuan,perlombaan,ras,balapan, pacuan,bangsa
thai	thailand
:-(	:-(
supporting	pendukung,sokongan,mendukung,dukungan,menyokong
kishen	kishen
bullog	bullog
decis	keputusan,decis
colleague	rekan,teman sekerja, teman sekerja,kolega, rekan
theater	 teater,bioskop,teater
february	februari,Februari
documenting	dokumen,berkas,mendokumentasikan,surat,akte
arguing	membantah,berdebat, membantah,bertengkar
whistl	whistl
locates	menempatkan
shirking	kelalaian
هوليوود	هوليوود
recovered	sembuh,mendapatkan kembali,pulih
fields	ladang,Padang,padang,bidang, padang,Ruas,ruas,Ladang,lapangan
queens	queens,ratu
http://www.angelcaido666x.blogspot.com	http://www.angelcaido666x.blogspot.com
leaked	bocor,kebocoran
somalia's	somalia
ten	sepuluh
greece	yunani
relieved	lega,merasa lega
diwali	diwali
whisper	membisikkan,bisikan,berbisik
upholding	menjunjung tinggi
pasig	pasig
freelance	freelance,Pekerja Lepas
souks	pasar
sleuth	sleuth
illustrate	berilustrasi, berilustrasi,menggambarkan,bergambar
falsehood	kepalsuan
echo	gema,pantulan suara,echo,menggemah, pantulan suara
adolescents	remaja,anak remaja
stabilized	stabil
mep	mep
bangl	bangl
miss	tidak masuk,tidak menangkap,tidak dapat,rindu, tidak dapat,absen,miss,nona,ketinggalan,kehilangan
frumpi	frumpi
janin	janin
@bangkokbill	@bangkokbill
vendor	vendor
dolboeb	dolboeb
suffice	cukuplah,kekurangan
covered	sampul,tutup,sarung,menutupi,tertutup,menyampul,penutup
invas	invas
neatli	neatli
vinod	vinod
continuation	kelanjutan
amazed	heran,kagum
textbook	buku pelajaran,buku
sickened	muak
footage	rekaman
france's	perancis
figur	bentuk badan,gambar,angka,bilangan,figur,tokoh,sosok, bilangan
discouraging	mengecilkan hati,mengecilkan
confinement	kurungan
oleg_kozyrev's	oleg_kozyrev ini
lectur	kuliah,lectur,ceramah
lepetitjournal	lepetitjournal
adapt	, mengadaptasi,merubah,mengadaptasi,mengadaptasikan,menyesuaikan,beradaptasi,diadaptasi
rajaa	rajaa
doggi	doggi
legitim	legitim
entail	memerlukan
survival	kelangsungan hidup
wikimedia	wikimedia
paratroop	paratroop
unneeded	tidak dibutuhkan
boon	boon
workforc	workforc,tenaga kerja
little	sedikit,kecil
subject	pokok,topik,subjek,mata pelajaran, topik
spray	semprot
recharge	yang dapat anda
friendship	persahabatan
tweep	tweep
cemetery	 makam,makam,pemakaman,pekuburan, pekuburan,kuburan
confusing	membingungkan
an	aplikasi,anestesi,obat bius, obat bius
industry	kerajinan,industri, kerajinan
resettlement	pemukiman
sorts	menyortir,jenis,menanggulangi,macam,menyelesaikan
driving	mengemudi,guru mengemudikan mobil
discoveri	penemuan,discoveri
receivers	penerima,alat penerima,tangkai telepon, tangkai telepon
gizawy	gizawy
great	,terkenal,besar, juara,termashyur,juara,hebat,jago
allegation	dugaan
assert	menegaskan
decadent	dekaden
@breakingnew	@breakingnew
expectant	hamil
conakri	conakri
administ	mengelola,administ
juan	juan
pinstorm	pinstorm
displaced	memindahkan,mereka, memindahkan,menggantikan
uyghur	uyghur
reports	melaporkan,rapor,laporan
techniques	teknik
id	,ide,maksud,id,pikiran, gagasan, pikiran,gagasan
noghaideli	noghaideli
paraguay	paraguay
yadav	yadav
electricity	listrik
infuri	membuat marah,infuri
aclu.soc	aclu.soc
un-african	un-afrika
reconcil	reconcil,mendamaikan
passports	paspor
indefinit	indefinit,belum jelas
prioritize	memprioritaskan, mengutamakan,mengutamakan
maysaloon	maysaloon
nirmal	nirmal
paradox	 lawan asas,lawan asas,paradoks
0	Nol
holiest	Suci, suci,suci,kudus
end	 bagian akhir,end,bagian akhir,akhir,mengakhiri,berakhir,tamat,berhenti,menghentikan,ujung
burden	beban
tegucigalpa	tegucigalpa
filed	kikir,menyimpan,file,mengikir,data,simpanan,arsip,filed,catatan,dokumen,map,berkas, catatan
humble	rendah hati
al-zeidi's	al-zeidi ini
colorectal	kolorektal
cyber-activism	cyber-aktivisme
unaids	unaids
il	il
belov	belov
anytime	kapan saja
البطاقة	البطاقة
sciences	sains,ilmu,ilmu pengetahuan, sains
indictment	dakwaan
hearsay	desas-desus
tidi	 teratur,rapi,membereskan,necis, rapi,teratur,merapikan,mengatur,tidi
angry	marah
surprised	heran,terkejut
amidst	di tengah-tengah
injury	luka,cedera
js	js
bigger	lebih besar
wizarding	sihir
team	 tim,tim,regu
5,400	Lima ribu empat ratus
warming	panas,menghangatkan,pemanasan,hangat
tragic	tragis
famushu	famushu
centerpoint	centerpoint
recognit	pengakuan
moroccans	maroko
box	dos, kotak,kotak,peti   peti jenazah
sensitivity	sensitivitas
roland	roland
chen	chen
road	jalan
counters	counter
retweeter	retweeter
kilda	kilda
classed	golongan,digolongkan,kelas,pelajaran
hopefully	mudah-mudahan
anil	anil
family-own	keluarga sendiri
arnold	arnold
به	به
christmas	Natal,natal
shimabara	shimabara
scholars	beasiswa,ulama
pls	pls
mangalore	mangalore
inexperience	pengalaman,kurang berpengalaman
ironis	cover
heartening	membesarkan hati
burned	menyala,hangus,dibakar,membakar,terbakar,luka  bakar
tah	tah
missil	missil
robbing	 merampok, merampas,menyamun,merampas,merampok
pews	bangku
constantli	constantli
dogs	anjing
practicing	,latihan,berlatih
apocalypt	apocalypt
fatcatdav	fatcatdav
honest	lurus hati,jujur, lurus hati
46000	Empat puluh enam ribu
claudio	claudio
jail	mengurung dalam penjara,kurungan  colloquial penjara,colloquial,membui  colloquial memenjarakan, kurungan,penjara,bui
nakba	nakba
decoys	umpan
ayisien's	ayisien ini
hype	hiperbola, melebih-lebihkan,hype,melebih-lebihkan
christopher	christopher
practice	,praktek,latihan
rubyworthy	rubyworthy
mekn	mekn
victors	pemenang
dark	gelap,tua
celebrities	selebriti
gray	abu-abu
cement	semen
zone	zona, lingkungan,daerah, zona,lingkungan
kazakhstan-bas	kazakhstan-bas
donated	disumbangkan
frustrat	frustrasi,frustrat
teacher'	guru'
primary	sekolah dasar,primer
scheme	 siasat,siasat,rencana, rencana,skema,pola, skema
denounc	denounc
voter	pemilih
saudi	arab
aims	,maksud,mengarahkan,bertujuan, tujuan,membidik,tujuan
approaching	pendekatan,mendekati,menjelang,menangani
lebanon	lebanon
availability	ketersediaan
trust	kepercayaan,mempercayai,percaya kepada
grandmoth	nenek,grandmoth
espas	tulisan espas
silver	perak
ops	ops
neighborhoods	lingkungan
supa	supa
rue	rue
persecut	persecut
uae'	uea'
tacky	lengket,norak
earn	 mendapat gaji,mendapat gaji,mendapat bayaran,memperoleh,mendapatkan
trails	jalan
nora	nora
anywhere	di mana saja
data	 fakta,fakta,data
co-presentation	co-presentasi
barbaric	barbar
need-bas	kebutuhan-bas
sympathis	bersimpati,sympathis
sinha	sinha
woes	kesengsaraan
runner	pelari
colonize	menjajah
vocal	pita suara,vokal
colleagu	kolega, rekan,colleagu,rekan,teman sekerja, teman sekerja
conclusion	kesimpulan
paranaqu	apartments
interracial	seks antar ras
five-year	lima tahun
anti-brahmin	anti-brahmana
jagdeo	jagdeo
conferences	pertemuan, pertemuan,perundingan, perundingan,konferensi
naiv	naiv
walla	walla
twitterers	twitterers
collabor	 berkolaborasi,berkolaborasi,bekerjasama,collabor
dis	dis,cacat
concepción	concepcion
implement	melaksanakan,pelaksanaan
categori	kategori
chamot	chamot
1900s	Tahun 1900-an
authority	otoritas
swept	menyapu
voice	suara
protesters	pengunjuk rasa,pemrotes,penyanggah, penyanggah
alreadi	alreadi
sturdier	kokoh
jumpsuits	jumpsuits
digs	penggalian
one-day	satu hari
rubbl	rubbl
pundit	pundit
witchcraft	sihir,ilmu sihir
followers	Pengikut,pengikut
received	menerima
impos	memaksakan,tidak mungkin, karena itu
contract	perjanjian,kontrak,mengontrak, perjanjian
categories	kategori
scott	Skotlandia,scott
seize	merebut
atop	di atas
أو	أو
grocery	kelontong
compatible	 selaras, rukun,selaras,kompatibel,cocok,rukun
international'	internasional'
chariot	kereta
tortured	penyiksaan,siksaan,disiksa,menyiksa, siksaan
committing	berjanji untuk melakukan,melakukan sesuatu yang cenderung negatif,melakukan
tharoor	tharoor
monsoon	hujan
non-viol	non-biola
ador	ador
requir	memerlukan, membutuhkan,membutuhkan,requir
sunlight	sinar matahari,cahaya matahari, sinar matahari
heighten	meningkatkan
sigh'	mendesah'
untim	untim
dealt	transaksi,,perjanjian,membagi,ditangani,kesepakatan / sesuatu yang berurusan dengan transaksi,berdagang
00:10	00:10
unsuccessfully	gagal
privately-funded	didanai swasta
samba	samba
erase	menghapus
gurus	guru
questioned	dipertanyakan,soal,pertanyaan
time-sensit	waktu-sensit
viewpoint	 pendapat,sudut pandang,pendapat,pandangan
install	instal,menginstal,memasang
expuls	expuls
bribes	sogokan, sogokan,menyogok,suap
11	Sebelas
94	Sembilan puluh empat
dymovskiy	dymovskiy
trace	bekas, jejak,jejak,mencari atau menemukan sesuatu dengan cermat
pradesh	pradesh
rucku	rucku
3arabawy	3arabawy
unsaf	unsaf,tidak aman  tidak selamat, tidak aman,membahayakan
details	detail,perincian
progressive	progresif
empti	kosong,empti,mengosongkan
devastating	menghancurkan
non-hegemon	non-hegemon
pitted	lubang,diadu
hindus	Hindu,hindu
believe	,percaya
penned	menulis karya,menulis
shravasti	shravasti
undertake	mengambil tanggungjawab,melakukan,mempertanggungjawabkan
81	Delapan puluh satu
overcame	 mengatasi,mengatasi,melewati
harri	harri
raza	raza
doth	maha
forbade	melarang
han	,memberikan,tangan,menyerahkan,han
puppets	 wayang,wayang,boneka,golek
includ	includ,memasukkan
plaincloth	plaincloth
consciousness	kesadaran
aus-emaps.com	aus-emaps.com
unimportant	tidak penting
day'	di malam hari'
clearanc	pengurusan pengiriman
intertwin	berjalin,intertwin
actors	aktor, pemain,pemain
survivor	selamat,orang yang terus bertahan
respecting	,menaati,mematuhi,kehormatan,menghormati, rasa hormat,rasa hormat
jeuness	jeuness
temasek	temasek
commentari	uraian,commentari,komentar, uraian
go-ahead	pergi-depan
cole	cole
weaken	melemahkan
wyclef	wyclef
47	Empat puluh tujuh
mauritiu	mauritiu
determined	tekun,ditentukan,bertekad, tekun
highhanded	highhanded
transformation	transformasi
innoc	tidak bersalah,innoc,suci,tak berdosa
edition	edisi
shugo	shugo
oldi	oldi
pledge	Janji, Ikrar,Ikrar,janji
gv	gv
bobby	bobby
incit	incit
colonial	kolonial
anti-israeli	anti-israel
reads	membaca
mzungu	mzungu
respons	pertanggung-jawaban,respon
zing	zing
senoghteh	senoghteh
signific	kepentingan,sebu,makna,hal yang terpenting,arti
brochures	Brosur,brosur
floodwat	floodwat
visuals	 visual,berhubungan dengan indra pengelihatan,visual,berhubungan dengan penglihatan
renegad	renegad
لا	لا
parody	parodi
enough	cukup
publishers	penerbit
companies	perusahaan,menemani
forev	ev,selalu,selama-lamanya
robb	robb
نقوم	نقوم
awhile	sementara
authorize	otorisasi
1906	Satu ribu sembilan ratus enam
cherokee	cherokee
prosthetic	palsu
marched	Maret,mars,berunjuk rasa,berjalan berbaris,berbaris
implementation	pelaksanaan,implementasi
rudder's	kemudi
haven't	belum
solidar	solidar
fragments	fragmen
qott's	qott ini
algerians	aljazair
wounded	luka,terluka
indo	indo
most	kebanyakan,sangat,paling,sebagian besar
threatening	mengancam
apuntes	apuntes
destroyers	kapal perusak
adhere	mematuhi,mengikuti
cinemas	bioskop
bridg	anjungan,jembatan,bridge,bridg
kocharian	kocharian
faisal	faisal
study	mempelajari,penelitian,kamar belajar,pelajaran,penyelidikan,belajar,studi
constitut	mahkamah konstitusi,constitut
gsbmatch	gsbmatch
promising	menjanjikan
barbar	barbar
diners	pengunjung
psychological	bersifat kejiwaan, bersifat kejiwaan,psikologis
ballon	ballon
surgery	ruang pemeriksaan dokter,bedah, pembedahan,pembedahan,operasi
rapidly	dengan cepat
size	ukuran,besarnya
exert	mengerahkan
operationalized	dioperasionalkan
referring	menunjuk,mengacu
sterilized	disterilkan
alx	alx
comparative	komparatif,perbandingan
lessons	pelajaran
razib	razib
dont	dont
illiteraci	illiteraci
interpret	menafsirkan  menginterpretasikan,menafsirkan,menerjemahkan
vandana	vandana
primer	primer
immigrés	immigrés
bodyguards	pengawal
غزة	غزة
helpag	helpag
judge	menghakimi,menaksir,hakim,menduga
termin	terminal,terminal komputer,termin,stasiun
express	,kereta api kilat,mengirimkan dengan ekspres,kilat,express
trading	trading,Perdagangan
apartheid	apartheid
communications	perhubungan, perhubungan,komunikasi
andri	andri
abortions	aborsi, pengguguran,pengguguran
librarian	pustakawan,pustakawati
families	keluarga
24000	Dua puluh empat ribu
353	Tiga ratus lima puluh tiga
rounded	,babak,giliran,serentetan,bulat,mengelilingi,ronde,sekitar,keliling,bundar
8th	Kedelapan
happili	happili
weeks	pekan,minggu
relied	mengandalkan,tergantung
overlook	mengabaikan
integr	integr
23:00	23:00
promises	menjanjikan,janji,janji-janji,berjanji
obsessed	terobsesi
ill	tidak enak badan, tidak enak badan,sakit
yogurts	yogurt
chuddi	chuddi
privat	,pribadi,privat
maids	pembantu
equivalent	ekuivalen,Setara, sama dengan,setara, sepadan,sama dengan,sepadan
scion	scion
microblog	microblog
construed	ditafsirkan
topped	teratas,paling tinggi,tertinggi,puncak,paling atas,tutup,juara,atasnya,atas
represented	diwakili,Diwakili
commodities	komoditas
lighter	pemantik api,geretan,lebih ringan, pemantik api
grenadines	grenadines
asia'	asia'
chinatown	chinatown
oath	sumpah
tightli	tightli
incompetent	tidak kompeten
characterized	ditandai
armed	bersenjata
enforcement	penegakan
exploitation	eksploitasi
swat'	swat'
internews.kg	internews.kg
lesbian	lesbi,lesbian,homoseks wanita, lesbi, lesbian
relationships	hubungan
studi	studio,studi
siddiqui's	siddiqui
shiver	menggigil
chand	chand
actress	aktris, pemain,pemain
synagogu	synagogu
commut	commut
overall	secara keseluruhan
sufferings	penderitaan
mahmood	mahmood
show	,pameran,menunjukkan,tampilkan,memperlihatkan,tontonan,acara
temperatur	,temperatur,suhu
constitu	mahkamah konstitusi,.
diplomat	diplomat
president's	presiden
المرجيحة	المرجيحة
governmental	pemerintah
temporarili	temporarili
